"latitude","longitude"
36.554775,-118.364139
37.690211,-119.198196
39.5900120256,-106.5246522834
40.59603,-111.5957
38.160346,-119.811932
40.4432213889,-105.7429613889
43.596492,-110.869989
36.577903,-118.748217
44.484577,-110.6412482
44.0424695,-121.3493633333
36.6840712772,-118.4562045336
38.8580208368,-120.13726294
37.878292,-119.367569
40.2851278,-105.6881788
36.7531894738,-118.6811828613
40.598248,-111.594154
40.396764,-121.517715
40.316911,-105.668499
40.431661,-105.764008
42.90263,-122.096971
40.084499,-105.608445
49.074203,-120.781546
40.463816,-121.527594
38.673449,-120.014305
37.954237,-107.294048
36.565752,-118.284409
39.194654,-120.261215
43.6546269,-110.7177745
46.667219,-118.226731
46.2690448249,-119.5869718027
38.989161,-114.239212
44.470611,-103.421329
36.571727,-118.312658
37.84341,-119.492253
39.692646,-120.619371
43.7122699566,-111.1167955399
38.840871,-105.042259
37.0705190311,-118.5071182251
40.348637,-105.634232
40.569932,-111.622574
44.4541307,-109.5448828
37.965687,-119.273775
44.466592,-110.836823
40.7304783951,-111.5380096436
40.3098194611,-105.6666870635
40.4139363889,-106.8065563889
37.682801,-112.829804
39.6117716667,-105.63852
40.412652,-105.734009
36.571897,-118.313742
44.364299,-121.138987
40.441022,-105.753862
37.663505,-119.62137
45.036753,-109.409838
40.5955983333,-111.594665
40.377206,-105.521665
43.681811,-116.393303
43.966105,-110.561936
43.7876035018,-110.8382288513
37.907908,-119.229469
37.2464365387,-106.4662575354
36.448268,-118.595215
37.7459807,-119.5331321
43.790428,-110.681763
43.620077,-110.794373
37.843575,-107.8824222222
40.117697306,-105.7529468929
40.1194270794,-105.7607316692
49.8928449793,-119.4740399669
40.393306,-105.708575
37.90725,-107.38316
48.814099,-113.659058
47.661552,-117.405006
45.3335716667,-121.7149966667
40.5696,-111.626104
40.395768,-105.713586
37.578,-118.237333
43.63651,-110.798857
37.8470473102,-119.5118676871
41.771184,-115.650158
40.662052,-111.506885
42.802637,-118.866817
37.7615533333,-119.2499583333
37.686775988,-119.162316844
37.9643783333,-119.272025
37.931116,-119.254017
37.966036,-119.319228
38.8402846,-105.0439889
36.609817923,-118.7094520648
40.415269,-105.849055
36.44523017,-118.59544805
38.699472,-119.96881
36.42784049,-118.60006689
48.6185464892,-113.3966582932
37.672748,-119.47237
39.4199783333,-120.3065866667
41.61065,-121.553837
39.614919,-105.609427
40.44335,-105.75162
36.450602,-118.595996
39.587732,-105.642943
36.565752,-118.284409
40.436103,-105.759373
39.662937,-105.884843
40.1263443288,-105.7736922708
39.171261,-106.490672
43.8661213,-103.5322648
38.028175,-107.15002
37.850391,-119.659996
39.264425,-106.47344
37.540596,-106.800027
43.5992,-110.3710166667
35.913244,-105.646934
44.470558,-103.421308
36.606389,-106.378942
40.342793,-105.683639
37.1425018311,-118.5547561646
40.54269,-111.691875
40.49766,-121.420655
37.8842024056,-119.3451690674
44.6518029892,-110.9574508667
36.450775,-118.594815
44.913958,-110.280247
39.512257,-105.393039
37.760276,-119.248363
40.5506054912,-120.701772905
39.514003,-105.419507
43.796872,-110.679016
36.6113805556,-118.6947083333
39.3877226961,-106.0985668761
36.488081,-118.228396
38.876327,-120.189775
47.48506,-111.534158
39.584193131,-105.6427713386
46.663075,-118.227525
40.4165609067,-105.8139449358
43.620077,-110.794373
37.87887,-106.62913
37.9340753255,-107.7892396601
40.424735,-105.756947
37.85114,-107.771459
36.6068811372,-118.5905885696
44.6601064421,-110.9557342529
40.48993,-107.310122
40.298817,-105.656173
36.57882,-118.7503966667
47.661377,-117.399606
39.6381666667,-120.456
40.708751,-110.959167
41.053906,-110.398408
43.421125,-113.485291
43.966105,-110.561936
42.581415,-121.93786
37.540766,-107.444401
40.3089968342,-105.6932938099
40.200947,-105.63154
40.393306,-105.708575
37.7705963,-119.5107708
40.342793,-105.683639
40.573676,-111.699484
43.7836296906,-110.7289544093
39.478631,-106.73272
36.55666,-105.4305
40.571067,-111.631823
36.4448333333,-118.1695
39.1493805,-106.5412916667
39.518027,-105.389237
37.064057,-118.985775
36.608554,-118.690098
40.414052,-105.72444
40.278159,-105.668747
42.581415,-121.93786
38.877229,-105.027153
36.4333166,-118.6836173
40.571329,-111.623713
40.60708,-111.693385
40.598704,-111.59514
43.453417,-113.550739
40.435930578,-105.7086984379
40.2851278,-105.6881788
40.801548,-111.473661
40.37721,-105.52167
36.555757,-105.430207
37.8160166667,-119.4097133333
40.4329186082,-105.7683205605
38.8699531555,-120.1932601929
37.847793,-119.492643
40.572501,-111.618261
36.558877,-118.742723
39.31455564,-120.32333528
36.693401,-118.372579
37.279880187,-118.87495989
37.907163,-119.241571
38.8699531555,-120.1932601929
36.599564,-118.702905
37.73706,-107.316675
37.810788569,-119.4852245852
38.021956,-119.264692
47.66373,-117.402473
40.424709,-105.805978
43.6633416667,-110.6319111111
44.6473197937,-110.931098938
44.914796,-110.285826
38.9173722,-120.1472527
47.5196116667,-111.1813716667
40.542635,-111.67433
36.56031905,-118.29269607
36.7368666667,-118.85903
37.267851,-118.688993
42.5940381138,-114.4119644165
36.6074434,-118.7145424
36.7686610075,-118.3779430389
40.661336,-111.506121
39.108879,-106.563919
47.4865083333,-111.5329666667
36.243167,-118.120056
35.792741,-105.792127
35.7949583333,-105.7841805556
40.4295414233,-105.7431104406
39.004644,-107.94445
40.424862,-105.850549
44.3416407815,-106.9533366631
38.8444999,-120.158
39.891654,-105.763062
37.9415071878,-119.2438359747
48.974831,-119.161873
43.725429,-110.763752
41.230586,-120.41474
40.447698,-105.752431
37.935021,-119.242885
37.79467529,-119.26231029
44.483234,-110.136582
44.598885,-110.499898
36.4664632847,-118.5086512911
36.440631,-118.219356
44.818547,-110.448003
37.756662,-119.594037
36.739948,-118.380089
40.543403,-111.692352
36.257563,-118.248596
43.7838117159,-110.7286271798
40.657983,-115.434251
44.462881,-110.827444
40.443612,-121.40406
39.195103,-120.261086
40.438529,-109.304228
44.416193,-110.654373
37.930943,-119.229263
44.661039,-110.467342
37.554925,-113.627645
37.554012,-112.630322
38.799852,-117.398872
44.722863,-110.491519
37.634901,-112.844696
47.709261,-116.953706
36.570745,-118.309607
40.6608916667,-111.5094383333
38.8699531555,-120.1932601929
38.7416992188,-120.0377197266
38.840543,-105.042096
39.513405,-105.4183666667
39.4028150695,-105.5411601486
38.8919330669,-120.208376935
38.845012,-120.157792
39.360067484,-120.2357203378
40.513053,-108.948745
40.4143513889,-105.72409
39.3171577435,-120.3171128501
36.444678,-118.596135
38.323373,-119.679332
40.4409716667,-105.7544633333
39.594551,-105.645304
40.498868,-105.95953
43.4602587736,-113.5578364843
40.4588842894,-121.4310296188
38.9563580091,-106.9899418765
36.716675,-118.8981694444
39.5382067105,-119.7434205216
40.412161,-105.733139
45.993825,-109.8985283333
38.3182253223,-119.6642446518
37.23655,-119.1608721667
40.58303,-111.617639
37.778046,-107.846088
38.447407,-109.218779
40.583365,-111.618357
49.476182,-117.398361
49.492812,-117.294834
40.1319508581,-105.808449844
38.672295,-119.9943730556
38.6734480556,-119.9939647222
40.410523,-105.732572
40.342793,-105.683639
47.599202,-120.650359
37.713528,-107.016557
47.1391933333,-119.9313383333
39.0996694845,-106.9423192554
37.8997944444,-119.2211694444
36.4986128577,-118.5598202268
38.859717,-120.136403
38.852379,-120.101122
39.0995778333,-106.94268
38.9591376577,-106.9900781662
40.447955,-105.751587
37.2661308479,-118.7829410938
37.9763812,-119.2771114
42.2537902591,-122.4378204346
37.8055854061,-119.4615199417
37.865101,-119.538329
40.781627,-106.682633
36.431365,-118.603935
40.305285178,-105.6600044545
